CODE_5DIGIT,SIGUNGU,PM10_14,PM10_15,PM10_16,PM10_17,PM10_18,MOR_14,MOR_15,MOR_16,MOR_17,MOR_18
11110,Jongno-gu,45,50.5,46,42,35.5,38,63,54,63,72
11140,Jung-gu,46,47,45.5,43.5,40,43,57,49,59,64
11170,Yongsan-gu,45,46.5,51,48.5,42.5,57,78,71,96,69
11200,Seongdong-gu,47,47.5,54.5,49.5,44,90,95,105,140,121
11215,Gwangjin-gu,50,45,48,42,40,92,97,124,108,117
11230,Dongdaemun-gu,46,45,47.5,46.5,41,115,110,156,185,142
11260,Jungnang-gu,47,45,50,45,35,123,146,154,203,202
11290,Seongbuk-gu,43,45.5,52.5,52,44,114,139,133,209,189
11305,Gangbuk-gu,46,45,42,37,35,94,140,120,169,171
11320,Dobong-gu,43,43,47,44,41,105,130,131,132,153
11350,Nowon-gu,45,46.5,47.5,47,41,176,196,238,186,243
11380,Eunpyeong-gu,45,45,47,44,40,161,156,178,203,210
11410,Seodaemun-gu,45,42,50,46,41,81,105,98,113,110
11440,Mapo-gu,48,50.5,55.5,47,47.5,78,113,130,108,134
11470,Yangcheon-gu,47,47,47,44,37,121,136,120,117,141
11500,Gangseo-gu,46,59,58,56,44,123,165,193,154,175
11530,Guro-gu,48,46,51,45,43,90,116,125,129,151
11545,Geumcheon-gu,43,47,45,41,42,74,74,88,85,71
11560,Yeongdeungpo-gu,46,51.5,57.5,54,49.5,91,103,117,121,123
11590,Dongjak-gu,43,44,54,48.5,44.5,91,108,94,126,114
11620,Gwanak-gu,51,51,48,43,43,120,92,116,138,127
11650,Seocho-gu,47,51.67,54.5,52,44.5,77,76,107,103,97
11680,Gangnam-gu,46,48.5,51.5,48,41.5,99,122,132,134,122
11710,Songpa-gu,43,44,46,45,42,139,130,154,161,165
11740,Gangdong-gu,45,47,48.5,48.5,46,97,126,122,131,106
26110,Jung-gu,53,50,43,42,42,22,22,41,34,25
26140,Seo-gu,37,38,40,42,40,78,81,84,109,105
26170,Dong-gu,48,47.5,44.5,47,41,51,44,54,88,96
26200,Yeongdo-gu,58,47,40,40,38,81,70,89,136,98
26230,Busanjin-gu,57,50,40,44,43,147,212,177,244,219
26260,Dongnae-gu,47,53,50,49,43,91,100,120,143,122
26320,Buk-gu,55,46,41,36,41,89,128,131,168,169
26350,Haeundae-gu,41,41,42,43,38,146,166,164,214,177
26380,Saha-gu,60,54,52,50,48,125,156,170,180,207
26410,Geumjeong-gu,47,51.5,43,42,41.5,98,138,109,129,154
26440,Gangseo-gu,58.5,54,47,45,46,25,25,25,42,40
26470,Yeonje-gu,47,48,47,49,39,77,76,93,92,117
26500,Suyeong-gu,37,37,45,41,46,68,72,94,95,91
26530,Sasang-gu,55,54,51,51,42,89,102,99,93,115
26710,Gijang-gun,35.5,38,39.5,39.5,36,73,83,93,77,90
27110,Jung-gu,47,46.5,42.5,45,41,38,61,45,55,50
27140,Dong-gu,45.5,48.5,44,43,40,133,177,186,207,246
27170,Seo-gu,54,55.5,52.5,51,47.5,104,109,109,122,113
27200,Nam-gu,38,40,37,45,43,81,81,71,106,113
27230,Buk-gu,47,53,51,45,42.5,181,169,177,183,193
27260,Suseong-gu,46.5,43,41.5,40.5,37,166,191,170,222,237
27290,Dalseo-gu,37,43,37.5,42.5,39.33,177,190,200,243,249
27710,Dalseong-gun,39,41,38,33,33,103,93,119,137,148
28110,Jung-gu,48.5,58.5,50.5,51,42.5,43,38,39,42,78
28140,Dong-gu,51.5,60,52,44.5,44,34,24,47,41,51
28185,Yeonsu-gu,41,43,50,43,36.5,72,79,92,97,114
28200,Namdong-gu,49.33,53.75,53,45.75,41.33,160,169,174,212,229
28237,Bupyeong-gu,51,46,48.5,49,47,161,198,213,200,246
28245,Gyeyang-gu,57,55,58,52,43,79,92,96,110,146
28260,Seo-gu,48,48.25,45,46.75,38.2,173,148,145,189,228
28710,Ganghwa-gun,40,52,46,45.5,40.5,40,65,91,101,121
29110,Dong-gu,37,38,38,40,43,73,63,67,85,99
29140,Seo-gu,37,50.5,42,41.5,44,79,134,125,194,175
29170,Buk-gu,40.5,45.67,42.67,42.33,41,122,167,211,260,287
29200,Gwangsan-gu,45.5,50,42,41.5,38,91,116,143,202,198
30110,Dong-gu,42,47,39,45,45,67,101,113,107,119
30140,Jung-gu,40,49.5,43,47.5,44,64,98,107,128,131
30170,Seo-gu,39,43.33,39.67,42,43,103,121,138,190,166
30200,Yuseong-gu,40,45,46,46.5,40.67,92,83,78,100,104
30230,Daedeok-gu,45.5,51.5,49.5,49,50.5,75,64,79,83,85
31110,Jung-gu,50,47,42,37,38,63,89,88,84,101
31140,Nam-gu,48.2,49.4,41.17,40.67,39.17,92,93,87,108,135
31170,Dong-gu,46,42,43,44,35,41,45,36,42,45
31200,Buk-gu,48.5,49,46,46,42,59,51,46,61,70
31710,Ulju-gun,42.8,45.8,43.8,43.8,40.6,93,106,99,131,137
41111,"Jangan-gu, Suwon-si",49,46,53,49,43,68,101,97,95,136
41113,"Gwonseon-gu, Suwon-si",52,52,53,48,36,73,71,84,109,127
41115,"Paldal-gu, Suwon-si",49.33,52,51.67,50,44,56,79,74,73,84
41117,"Yeongtong-gu, Suwon-si",51,49,54,46,42,41,51,52,47,87
41131,"Sujeong-gu, Seongnam-si",54.5,52,45.5,48,40.5,45,63,86,69,101
41133,"Jungwon-gu, Seongnam-si",53,54.5,51,53,48,56,64,60,70,87
41135,"Bundang-gu, Seongnam-si",49.67,49.25,46,45.75,43.25,71,113,116,137,177
41150,Uijeongbu-si,53,55.5,48.5,54.5,45.5,86,137,157,166,268
41171,"Manan-gu, Anyang-si",48,47.5,47.5,49,47,59,53,79,73,75
41173,"Dongan-gu, Anyang-si",54.5,53.5,53.5,55,46.5,61,63,74,70,93
41210,Gwangmyeong-si,50,49,52,50,45.5,54,61,92,88,96
41220,Pyeongtaek-si,60,62.33,63.33,61.67,55.25,140,174,188,165,233
41250,Dongducheon-si,63,64,55,57,43,41,37,46,43,82
41271,"Sangnok-gu, Ansan-si",52.5,53.5,51.5,50,43.5,76,78,102,93,126
41273,"Danwon-gu, Ansan-si",51.6,53.8,53,46.67,41,64,64,81,89,98
41281,"Deogyang-gu, Goyang-si",55,52,56,55.5,43,119,130,158,167,191
41285,"Ilsandong-gu, Goyang-si",53,59.5,57.5,54.5,47.5,46,78,97,104,125
41290,Gwacheon-si,49.5,47.5,48,45.5,41,6,20,25,22,21
41310,Guri-si,52,53,59,58.5,43,43,34,45,61,90
