CODE_5DIGIT,PM10_14,PM10_15,PM10_16,PM10_17,PM10_18,MOR_14,MOR_15,MOR_16,MOR_17,MOR_18,,,
11110,45.00,50.50,46.00,42.00,35.50,38,63,54,63,72,,,
11140,46.00,47.00,45.50,43.50,40.00,43,57,49,59,64,,,
11170,45.00,46.50,51.00,48.50,42.50,57,78,71,96,69,,,
11200,47.00,47.50,54.50,49.50,44.00,90,95,105,140,121,,,
11215,50.00,45.00,48.00,42.00,40.00,92,97,124,108,117,,,
11230,46.00,45.00,47.50,46.50,41.00,115,110,156,185,142,,,
11260,47.00,45.00,50.00,45.00,35.00,123,146,154,203,202,,,
11290,43.00,45.50,52.50,52.00,44.00,114,139,133,209,189,,,
11305,46.00,45.00,42.00,37.00,35.00,94,140,120,169,171,,,
11320,43.00,43.00,47.00,44.00,41.00,105,130,131,132,153,,,
11350,45.00,46.50,47.50,47.00,41.00,176,196,238,186,243,,,
11380,45.00,45.00,47.00,44.00,40.00,161,156,178,203,210,,,
11410,45.00,42.00,50.00,46.00,41.00,81,105,98,113,110,,,
11440,48.00,50.50,55.50,47.00,47.50,78,113,130,108,134,,,
11470,47.00,47.00,47.00,44.00,37.00,121,136,120,117,141,,,
11500,46.00,59.00,58.00,56.00,44.00,123,165,193,154,175,,,
11530,48.00,46.00,51.00,45.00,43.00,90,116,125,129,151,,,
11545,43.00,47.00,45.00,41.00,42.00,74,74,88,85,71,,,
11560,46.00,51.50,57.50,54.00,49.50,91,103,117,121,123,,,
11590,43.00,44.00,54.00,48.50,44.50,91,108,94,126,114,,,
11620,51.00,51.00,48.00,43.00,43.00,120,92,116,138,127,,,
11650,47.00,51.67,54.50,52.00,44.50,77,76,107,103,97,,,
11680,46.00,48.50,51.50,48.00,41.50,99,122,132,134,122,,,
11710,43.00,44.00,46.00,45.00,42.00,139,130,154,161,165,,,
11740,45.00,47.00,48.50,48.50,46.00,97,126,122,131,106,,,
26110,53.00,50.00,43.00,42.00,42.00,22,22,41,34,25,,,
26140,37.00,38.00,40.00,42.00,40.00,78,81,84,109,105,,,
26170,48.00,47.50,44.50,47.00,41.00,51,44,54,88,96,,,
26200,58.00,47.00,40.00,40.00,38.00,81,70,89,136,98,,,
26230,57.00,50.00,40.00,44.00,43.00,147,212,177,244,219,,,
26260,47.00,53.00,50.00,49.00,43.00,91,100,120,143,122,,,
26320,55.00,46.00,41.00,36.00,41.00,89,128,131,168,169,,,
26350,41.00,41.00,42.00,43.00,38.00,146,166,164,214,177,,,
26380,60.00,54.00,52.00,50.00,48.00,125,156,170,180,207,,,
26410,47.00,51.50,43.00,42.00,41.50,98,138,109,129,154,,,
26440,58.50,54.00,47.00,45.00,46.00,25,25,25,42,40,,,
26470,47.00,48.00,47.00,49.00,39.00,77,76,93,92,117,,,
26500,37.00,37.00,45.00,41.00,46.00,68,72,94,95,91,,,
26530,55.00,54.00,51.00,51.00,42.00,89,102,99,93,115,,,
26710,35.50,38.00,39.50,39.50,36.00,73,83,93,77,90,,,
27110,47.00,46.50,42.50,45.00,41.00,38,61,45,55,50,,,
27140,45.50,48.50,44.00,43.00,40.00,133,177,186,207,246,,,
27170,54.00,55.50,52.50,51.00,47.50,104,109,109,122,113,,,
27200,38.00,40.00,37.00,45.00,43.00,81,81,71,106,113,,,
27230,47.00,53.00,51.00,45.00,42.50,181,169,177,183,193,,,
27260,46.50,43.00,41.50,40.50,37.00,166,191,170,222,237,,,
27290,37.00,43.00,37.50,42.50,39.33,177,190,200,243,249,,,
27710,39.00,41.00,38.00,33.00,33.00,103,93,119,137,148,,,
28110,48.50,58.50,50.50,51.00,42.50,43,38,39,42,78,,,
28140,51.50,60.00,52.00,44.50,44.00,34,24,47,41,51,,,
28185,41.00,43.00,50.00,43.00,36.50,72,79,92,97,114,,,
28200,49.33,53.75,53.00,45.75,41.33,160,169,174,212,229,,,
28237,51.00,46.00,48.50,49.00,47.00,161,198,213,200,246,,,
28245,57.00,55.00,58.00,52.00,43.00,79,92,96,110,146,,,
28260,48.00,48.25,45.00,46.75,38.20,173,148,145,189,228,,,
28710,40.00,52.00,46.00,45.50,40.50,40,65,91,101,121,,,
29110,37.00,38.00,38.00,40.00,43.00,73,63,67,85,99,,,
29140,37.00,50.50,42.00,41.50,44.00,79,134,125,194,175,,,
29170,40.50,45.67,42.67,42.33,41.00,122,167,211,260,287,,,
29200,45.50,50.00,42.00,41.50,38.00,91,116,143,202,198,,,
30110,42.00,47.00,39.00,45.00,45.00,67,101,113,107,119,,,
30140,40.00,49.50,43.00,47.50,44.00,64,98,107,128,131,,,
30170,39.00,43.33,39.67,42.00,43.00,103,121,138,190,166,,,
30200,40.00,45.00,46.00,46.50,40.67,92,83,78,100,104,,,
30230,45.50,51.50,49.50,49.00,50.50,75,64,79,83,85,,,
31110,50.00,47.00,42.00,37.00,38.00,63,89,88,84,101,,,
31140,48.20,49.40,41.17,40.67,39.17,92,93,87,108,135,,,
31170,46.00,42.00,43.00,44.00,35.00,41,45,36,42,45,,,
31200,48.50,49.00,46.00,46.00,42.00,59,51,46,61,70,,,
31710,42.80,45.80,43.80,43.80,40.60,93,106,99,131,137,,,
41111,49.00,46.00,53.00,49.00,43.00,68,101,97,95,136,,,
41113,52.00,52.00,53.00,48.00,36.00,73,71,84,109,127,,,
41115,49.33,52.00,51.67,50.00,44.00,56,79,74,73,84,,,
41117,51.00,49.00,54.00,46.00,42.00,41,51,52,47,87,,,
41131,54.50,52.00,45.50,48.00,40.50,45,63,86,69,101,,,
